Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Latitude,Longitude,user id,product id,Interaction type,Date,Heure,Month
1335,46,Male,Coat,Outerwear,52,West Virginia,S,White,Spring,4.2,No,Store Pickup,Yes,Yes,12,Venmo,Monthly,38.9202,-80.1817,1335.0,98c6081b2dfbf196fcdf222afe73ce78,purchase,2023-11-12,08:00:00,2023-11
1449,64,Male,Boots,Footwear,95,West Virginia,M,Black,Summer,3.6,No,Free Shipping,Yes,Yes,11,Credit Card,Every 3 Months,38.9202,-80.1817,1449.0,a368efd31fdde7e56fbf9a1c1f47116f,like,2023-12-16,08:00:00,2023-12
1536,36,Male,Sandals,Footwear,74,West Virginia,S,Turquoise,Fall,4.0,No,2-Day Shipping,Yes,Yes,8,Venmo,Monthly,38.9202,-80.1817,1536.0,b3d083d8be2033e3cdd95a1e8b7d3495,like,2023-11-15,08:00:00,2023-11
1603,54,Male,Sunglasses,Accessories,48,West Virginia,S,Charcoal,Winter,2.8,No,Free Shipping,Yes,Yes,13,Venmo,Fortnightly,38.9202,-80.1817,1603.0,41434099b63a1928f794ed5d3f538ea5,like,2023-01-19,10:00:00,2023-01
1677,27,Male,Sunglasses,Accessories,44,West Virginia,M,Cyan,Winter,3.1,No,Next Day Air,Yes,Yes,34,Bank Transfer,Weekly,38.9202,-80.1817,1677.0,76b7836536ba1b01123ad6b7bf6b0c7a,view,2023-12-17,08:00:00,2023-12
1697,31,Male,Sunglasses,Accessories,69,West Virginia,S,Turquoise,Spring,4.0,No,Free Shipping,No,No,7,Credit Card,Bi-Weekly,38.9202,-80.1817,1697.0,a4d81a268e35aee03e56fce425b0c369,like,2023-04-01,10:00:00,2023-04
1701,62,Male,Hoodie,Clothing,70,West Virginia,L,Black,Fall,4.1,No,Express,No,No,36,Bank Transfer,Monthly,38.9202,-80.1817,1701.0,7921cf9e1ebb1479b2cd26fcd67af437,view,2023-08-01,10:00:00,2023-08
1746,40,Male,Skirt,Clothing,27,West Virginia,L,Red,Winter,3.6,No,Store Pickup,No,No,27,Cash,Weekly,38.9202,-80.1817,1746.0,cd4bd30ea3bc0af2a986b5d5d2a4a6cd,purchase,2023-02-22,10:00:00,2023-02
1774,21,Male,Coat,Outerwear,92,West Virginia,M,Blue,Summer,2.7,No,Free Shipping,No,No,17,PayPal,Annually,38.9202,-80.1817,1774.0,b76ded15bcbc8b6f75c6b98c7ca1b06a,purchase,2023-03-22,10:00:00,2023-03
1870,18,Male,Blouse,Clothing,77,West Virginia,S,Beige,Spring,3.9,No,2-Day Shipping,No,No,16,Debit Card,Every 3 Months,38.9202,-80.1817,1870.0,264f366e86aa817281a9a4a69ed65763,purchase,2023-06-26,10:00:00,2023-06
1965,40,Male,Pants,Clothing,51,West Virginia,S,Cyan,Summer,4.6,No,Express,No,No,50,Debit Card,Monthly,38.9202,-80.1817,1965.0,0e2d4580b5be022ac04c8787634afb9a,purchase,2023-12-26,08:00:00,2023-12
1985,26,Male,Skirt,Clothing,58,West Virginia,M,Black,Summer,3.4,No,2-Day Shipping,No,No,26,PayPal,Fortnightly,38.9202,-80.1817,1985.0,70573b0eaddb21db8fd2eafc412f3055,like,2023-01-13,10:00:00,2023-01
2012,57,Male,Sandals,Footwear,94,West Virginia,M,Beige,Spring,3.7,No,Express,No,No,4,Bank Transfer,Monthly,38.9202,-80.1817,2012.0,aa08723f9ca17ad6b2730ffdff259e5b,like,2023-10-25,08:00:00,2023-10
2161,45,Male,Blouse,Clothing,92,West Virginia,L,Charcoal,Winter,3.3,No,Express,No,No,21,PayPal,Annually,38.9202,-80.1817,2161.0,965620d65daf21e2587203435ad29268,view,2023-03-21,10:00:00,2023-03
2216,25,Male,Sandals,Footwear,96,West Virginia,M,Indigo,Winter,2.7,No,Express,No,No,28,Credit Card,Fortnightly,38.9202,-80.1817,2216.0,8011ab02c41d95e3087bbb4040714118,view,2023-05-15,10:00:00,2023-05
2280,53,Male,Sneakers,Footwear,67,West Virginia,L,Indigo,Spring,2.9,No,Free Shipping,No,No,35,Bank Transfer,Quarterly,38.9202,-80.1817,2280.0,85a28167a32cac99b4845d6e77004e69,purchase,2023-07-18,10:00:00,2023-07
2398,37,Male,Sunglasses,Accessories,26,West Virginia,L,Black,Fall,2.9,No,Store Pickup,No,No,41,Venmo,Monthly,38.9202,-80.1817,2398.0,87d716f48c2005e678f0e65271d8bdbd,like,2023-11-22,08:00:00,2023-11
2405,28,Male,Shorts,Clothing,33,West Virginia,L,Cyan,Winter,3.1,No,2-Day Shipping,No,No,23,Credit Card,Bi-Weekly,38.9202,-80.1817,2405.0,5fa14715738d1458c979b9776cb96fc8,like,2023-11-29,08:00:00,2023-11
2424,49,Male,Backpack,Accessories,81,West Virginia,M,Purple,Summer,2.8,No,Free Shipping,No,No,7,Credit Card,Every 3 Months,38.9202,-80.1817,2424.0,75d64da1aa9c1f6fcd9d0a2bf20a71dd,like,2023-12-18,08:00:00,2023-12
2502,49,Male,Shorts,Clothing,94,West Virginia,M,Violet,Fall,4.6,No,Free Shipping,No,No,30,Venmo,Bi-Weekly,38.9202,-80.1817,2502.0,056c05b5d72a3ee7237168fe3267350a,like,2023-11-17,08:00:00,2023-11
2544,27,Male,Scarf,Accessories,56,West Virginia,L,Peach,Spring,2.7,No,Next Day Air,No,No,30,PayPal,Bi-Weekly,38.9202,-80.1817,2544.0,893644c2494aa7944c7133eb1fb6e7b0,purchase,2023-01-01,00:00:00,2023-01
2611,66,Male,Jeans,Clothing,93,West Virginia,M,Violet,Spring,3.1,No,Express,No,No,25,Cash,Quarterly,38.9202,-80.1817,2611.0,cc5f508a1cc8d6f350c7bef020b3f54b,purchase,2023-04-03,10:00:00,2023-04
2673,56,Female,Boots,Footwear,28,West Virginia,M,Maroon,Spring,2.9,No,Standard,No,No,13,Cash,Annually,38.9202,-80.1817,2673.0,71c27cac8d8f05102fcb8013303e07cc,purchase,2023-05-05,10:00:00,2023-05
2689,53,Female,Handbag,Accessories,63,West Virginia,XL,Turquoise,Spring,2.9,No,2-Day Shipping,No,No,18,Credit Card,Every 3 Months,38.9202,-80.1817,2689.0,a4636ffe4f46a3cd789b34b198495e8b,purchase,2023-05-21,10:00:00,2023-05
2748,18,Female,Jeans,Clothing,62,West Virginia,M,Teal,Winter,3.1,No,Free Shipping,No,No,21,Credit Card,Every 3 Months,38.9202,-80.1817,2748.0,20fb82da8a0052040a6885c8dd09e87c,like,2023-07-19,10:00:00,2023-07
2764,28,Female,Handbag,Accessories,52,West Virginia,M,Green,Fall,2.9,No,2-Day Shipping,No,No,35,Venmo,Quarterly,38.9202,-80.1817,2764.0,734fb3a4ce2245af448045f4b103ca4c,purchase,2023-04-08,10:00:00,2023-04
2788,36,Female,Boots,Footwear,79,West Virginia,XL,Pink,Spring,4.1,No,Next Day Air,No,No,4,Venmo,Fortnightly,38.9202,-80.1817,2788.0,4970c25f8dbb5c880b24561e75841853,like,2023-08-28,10:00:00,2023-08
2841,40,Female,T-shirt,Clothing,47,West Virginia,L,Pink,Spring,3.5,No,Store Pickup,No,No,41,Cash,Annually,38.9202,-80.1817,2841.0,3ddf926486a4e4fdafcd64dfb4aecd8d,purchase,2023-10-31,08:00:00,2023-10
2984,60,Female,Pants,Clothing,44,West Virginia,M,Charcoal,Winter,2.8,No,2-Day Shipping,No,No,1,Credit Card,Quarterly,38.9202,-80.1817,2984.0,b0f6902f37cbbc50c1dbbc8e7ffe0e72,view,2023-04-12,08:00:00,2023-04
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,38.5739,-92.6034,10.0,69828c5570dcdbd1609216d33fbad0db,purchase,2023-10-19,08:00:00,2023-10
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,38.5739,-92.6034,59.0,52c1091bb950f7466507179ac0bcbb86,like,2023-07-12,08:00:00,2023-07
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,38.5739,-92.6034,96.0,72b935fe1a8026edc4fa21e68e6dfe80,view,2023-11-01,10:00:00,2023-11
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,38.5739,-92.6034,100.0,afef5d77b6049314aeb9c50421a2cee9,like,2023-01-15,10:00:00,2023-01
144,30,Male,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25,PayPal,Quarterly,38.5739,-92.6034,144.0,c62585c13e47179bc4680213b47748f3,like,2023-11-13,08:00:00,2023-11
146,24,Male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly,38.5739,-92.6034,146.0,e9d6b02c60503e7a5ab3d1dd31f1f21b,like,2023-11-15,08:00:00,2023-11
157,35,Male,Shorts,Clothing,26,Missouri,M,Lavender,Fall,4.0,Yes,Standard,Yes,Yes,40,Debit Card,Annually,38.5739,-92.6034,157.0,840962c7998fc95967637adcbbe40031,purchase,2023-11-26,08:00:00,2023-11
195,51,Male,Backpack,Accessories,94,Missouri,M,Olive,Spring,3.1,Yes,Express,Yes,Yes,15,Debit Card,Quarterly,38.5739,-92.6034,195.0,39887c2739efaea41c8ff64b2bcf5a05,purchase,2023-01-01,10:00:00,2023-01
202,69,Male,Blouse,Clothing,22,Missouri,S,Beige,Fall,4.3,Yes,Free Shipping,Yes,Yes,15,Bank Transfer,Annually,38.5739,-92.6034,202.0,1ce0d10b52aeadc76bf43579d2d95aca,view,2023-08-01,10:00:00,2023-08
354,63,Male,Sneakers,Footwear,64,Missouri,L,Yellow,Fall,4.1,Yes,Store Pickup,Yes,Yes,35,Debit Card,Monthly,38.5739,-92.6034,354.0,fd0d9b564c242bbd846f26e1398ff547,like,2023-09-06,10:00:00,2023-09
449,32,Male,Gloves,Accessories,23,Missouri,M,Yellow,Summer,3.4,Yes,Next Day Air,Yes,Yes,35,Bank Transfer,Fortnightly,38.5739,-92.6034,449.0,96ae3a263bcae1ffd757103d9b936e24,like,2023-12-09,10:00:00,2023-12
453,45,Male,Pants,Clothing,45,Missouri,M,Violet,Summer,3.3,Yes,Express,Yes,Yes,39,PayPal,Fortnightly,38.5739,-92.6034,453.0,c417809e737d83bba1afeb09defd2935,like,2023-09-16,10:00:00,2023-09
472,55,Male,Scarf,Accessories,72,Missouri,XL,White,Winter,4.9,Yes,2-Day Shipping,Yes,Yes,36,Bank Transfer,Quarterly,38.5739,-92.6034,472.0,3540c0a24abfe24acd2a323c9d4864f4,purchase,2023-05-10,10:00:00,2023-05
485,68,Male,Hat,Accessories,73,Missouri,L,Lavender,Summer,4.7,Yes,Free Shipping,Yes,Yes,28,Bank Transfer,Quarterly,38.5739,-92.6034,485.0,9b4e518ecbf2de1b36fa8663ee86a010,view,2023-10-16,08:00:00,2023-10
505,42,Male,Shoes,Footwear,22,Missouri,M,Maroon,Winter,3.9,Yes,Free Shipping,Yes,Yes,26,PayPal,Annually,38.5739,-92.6034,505.0,94619f03268a719d137c5dac0fb79095,like,2023-05-11,08:00:00,2023-05
563,53,Male,Jeans,Clothing,62,Missouri,M,Blue,Summer,3.5,Yes,Standard,Yes,Yes,40,Debit Card,Annually,38.5739,-92.6034,563.0,424084c339ac914d340e3ebce8473e17,purchase,2022-12-31,10:00:00,2022-12
683,23,Male,Jacket,Outerwear,29,Missouri,M,Brown,Summer,4.0,Yes,Standard,Yes,Yes,49,Credit Card,Bi-Weekly,38.5739,-92.6034,683.0,6553b6b4f5a7e87832ee5c7dd64ed098,purchase,2023-11-01,10:00:00,2023-11
717,30,Male,Jewelry,Accessories,29,Missouri,M,Olive,Spring,3.6,Yes,Express,Yes,Yes,9,Venmo,Bi-Weekly,38.5739,-92.6034,717.0,1f0b63f41d6e271f170dd1372f6b3032,purchase,2023-06-11,08:00:00,2023-06
724,35,Male,Jewelry,Accessories,53,Missouri,L,Cyan,Fall,3.5,Yes,Express,Yes,Yes,43,PayPal,Monthly,38.5739,-92.6034,724.0,2f48d2d8715e14c8db96bdc61fa4ebec,view,2023-11-13,08:00:00,2023-11
843,59,Male,Shirt,Clothing,87,Missouri,M,Violet,Spring,3.6,Yes,Express,Yes,Yes,25,PayPal,Weekly,38.5739,-92.6034,843.0,9dd1e902152897761b0350482e730c77,purchase,2023-12-12,08:00:00,2023-12
845,59,Male,Sandals,Footwear,48,Missouri,L,Purple,Winter,4.4,Yes,Express,Yes,Yes,44,Venmo,Bi-Weekly,38.5739,-92.6034,845.0,895dd0cf6e762413e95377e4cdbf0483,like,2023-12-14,08:00:00,2023-12
850,23,Male,Jeans,Clothing,61,Missouri,S,Charcoal,Spring,4.3,Yes,Express,Yes,Yes,24,PayPal,Quarterly,38.5739,-92.6034,850.0,b592b19f4531ba5dbdc2e03a4c1cd5fb,like,2023-12-19,08:00:00,2023-12
858,43,Male,Shorts,Clothing,60,Missouri,L,Cyan,Fall,3.0,Yes,Standard,Yes,Yes,50,Debit Card,Every 3 Months,38.5739,-92.6034,858.0,9080830693aff4fe1019c51325a6ea5a,purchase,2023-12-27,08:00:00,2023-12
902,60,Male,Scarf,Accessories,68,Missouri,L,Violet,Summer,4.7,Yes,2-Day Shipping,Yes,Yes,34,Cash,Monthly,38.5739,-92.6034,902.0,ad4941365a53d21f8b7745fe4a7577d7,like,2023-06-11,08:00:00,2023-06
1076,57,Male,Sunglasses,Accessories,50,Missouri,L,Indigo,Summer,4.9,No,Next Day Air,Yes,Yes,32,Debit Card,Bi-Weekly,38.5739,-92.6034,1076.0,02347c613482d384c8033f223a65ea53,view,2023-11-28,08:00:00,2023-11
1211,34,Male,Sunglasses,Accessories,78,Missouri,M,Olive,Fall,4.1,No,Next Day Air,Yes,Yes,5,Cash,Quarterly,38.5739,-92.6034,1211.0,7754de864cb3b9586254e370d5986856,purchase,2023-12-24,08:00:00,2023-12
1275,54,Male,Hat,Accessories,73,Missouri,M,Olive,Spring,3.1,No,2-Day Shipping,Yes,Yes,37,PayPal,Quarterly,38.5739,-92.6034,1275.0,ff2d9b91f16ccd82704617dd4b833eba,like,2023-12-10,08:00:00,2023-12
1308,23,Male,Coat,Outerwear,32,Missouri,L,Black,Summer,3.1,No,Express,Yes,Yes,43,PayPal,Annually,38.5739,-92.6034,1308.0,b64a7328eed7d7fb42d05a38f0fa8f3e,purchase,2023-11-14,08:00:00,2023-11
1313,66,Male,T-shirt,Clothing,79,Missouri,M,Violet,Winter,3.0,No,Store Pickup,Yes,Yes,19,Bank Transfer,Monthly,38.5739,-92.6034,1313.0,b4f826499738f8081ea1f53ec1abc116,like,2023-11-19,08:00:00,2023-11
1314,70,Male,Shoes,Footwear,28,Missouri,M,Lavender,Summer,2.6,No,Free Shipping,Yes,Yes,23,Credit Card,Bi-Weekly,38.5739,-92.6034,1314.0,f9813357c15cbaa3c00051aac6b24c50,like,2023-11-20,08:00:00,2023-11
1315,42,Male,Boots,Footwear,67,Missouri,S,Magenta,Summer,3.4,No,Free Shipping,Yes,Yes,49,Debit Card,Annually,38.5739,-92.6034,1315.0,b3a26387aaceeabf64def5d2ae878428,purchase,2023-11-21,08:00:00,2023-11
1322,59,Male,T-shirt,Clothing,84,Missouri,L,Orange,Winter,3.7,No,Express,Yes,Yes,45,Bank Transfer,Every 3 Months,38.5739,-92.6034,1322.0,d20ceeef3115429b85450e6aee950704,view,2023-11-28,08:00:00,2023-11
1459,35,Male,Sweater,Clothing,28,Missouri,M,Peach,Spring,2.9,No,2-Day Shipping,Yes,Yes,34,Venmo,Weekly,38.5739,-92.6034,1459.0,5501372cdf9304b1ef100e1076d01c8d,like,2023-12-26,08:00:00,2023-12
1490,24,Male,Jewelry,Accessories,26,Missouri,XL,Magenta,Summer,4.1,No,Next Day Air,Yes,Yes,42,Venmo,Quarterly,38.5739,-92.6034,1490.0,e82568c544b4847ba55117ba65b97650,like,2023-01-24,10:00:00,2023-01
1571,30,Male,Pants,Clothing,41,Missouri,L,Brown,Winter,4.8,No,Next Day Air,Yes,Yes,3,Bank Transfer,Every 3 Months,38.5739,-92.6034,1571.0,77937435cd82f472819976c8b70b0ea1,like,2023-12-20,08:00:00,2023-12
1623,31,Male,Shorts,Clothing,43,Missouri,S,Brown,Winter,4.0,No,Store Pickup,Yes,Yes,37,Bank Transfer,Every 3 Months,38.5739,-92.6034,1623.0,196f664fe9ff8ab92bcf895c21cf5a27,like,2023-10-24,08:00:00,2023-10
1640,41,Male,Gloves,Accessories,65,Missouri,L,Blue,Summer,3.3,No,Free Shipping,Yes,Yes,50,PayPal,Annually,38.5739,-92.6034,1640.0,201433d1205d3d39b29d054d5cb95380,like,2023-10-11,08:00:00,2023-10
1714,49,Male,Jacket,Outerwear,22,Missouri,M,Pink,Winter,4.6,No,Free Shipping,No,No,37,PayPal,Quarterly,38.5739,-92.6034,1714.0,acbc3765aa72a1ca26936597a723f0f3,view,2023-01-21,10:00:00,2023-01
1735,31,Male,Jeans,Clothing,98,Missouri,L,Brown,Spring,3.1,No,Next Day Air,No,No,16,PayPal,Quarterly,38.5739,-92.6034,1735.0,1be543b90ef277e89e2d8b2dbf8aed01,like,2023-11-02,10:00:00,2023-11
1744,23,Male,Skirt,Clothing,72,Missouri,XL,Brown,Winter,3.3,No,Standard,No,No,3,Bank Transfer,Weekly,38.5739,-92.6034,1744.0,c79eae67aaaff39ad59ebebcd007b200,view,2023-02-20,10:00:00,2023-02
1751,31,Male,Sunglasses,Accessories,85,Missouri,M,White,Fall,3.1,No,Express,No,No,38,Venmo,Every 3 Months,38.5739,-92.6034,1751.0,ca1d27025ba560f8bc7e1e3b9c39d24d,view,2023-02-27,10:00:00,2023-02
1866,56,Male,Pants,Clothing,62,Missouri,S,Silver,Summer,3.8,No,Store Pickup,No,No,12,Bank Transfer,Monthly,38.5739,-92.6034,1866.0,4c176fe252c93a402e9204ec4fecdb7e,like,2023-06-22,10:00:00,2023-06
1992,46,Male,Sneakers,Footwear,29,Missouri,M,Brown,Summer,3.7,No,Next Day Air,No,No,1,Venmo,Every 3 Months,38.5739,-92.6034,1992.0,83b72d06cf5e9ccc6957e5931b9f3a47,like,2023-01-20,10:00:00,2023-01
1996,67,Male,Boots,Footwear,80,Missouri,S,Teal,Spring,3.0,No,Standard,No,No,29,Debit Card,Quarterly,38.5739,-92.6034,1996.0,b9b85de6e38cb0153e0a3b2923936153,like,2023-01-24,10:00:00,2023-01
2045,49,Male,Jeans,Clothing,68,Missouri,L,Orange,Spring,3.0,No,Free Shipping,No,No,17,PayPal,Fortnightly,38.5739,-92.6034,2045.0,f1c185281042b37540194296a795aab8,purchase,2023-11-27,08:00:00,2023-11
2112,41,Male,Sunglasses,Accessories,85,Missouri,XL,Pink,Spring,2.6,No,Free Shipping,No,No,15,Bank Transfer,Annually,38.5739,-92.6034,2112.0,ecec56bdde9b5cb77c4d9dc412a2014d,purchase,2023-01-31,10:00:00,2023-01
2121,53,Male,Scarf,Accessories,98,Missouri,S,Red,Fall,3.1,No,Next Day Air,No,No,38,PayPal,Quarterly,38.5739,-92.6034,2121.0,2aa28abd0163d3cfb96e25e28157489a,like,2023-09-02,10:00:00,2023-09
2148,47,Male,Skirt,Clothing,43,Missouri,S,Charcoal,Fall,4.8,No,Standard,No,No,4,Cash,Fortnightly,38.5739,-92.6034,2148.0,b81ae1922d03c2b625023e561586676e,like,2023-08-03,10:00:00,2023-08
2157,38,Male,Skirt,Clothing,83,Missouri,M,Maroon,Winter,3.6,No,Next Day Air,No,No,41,Debit Card,Bi-Weekly,38.5739,-92.6034,2157.0,fefc6fe8fdb47d12112ef9baf9aa660f,view,2023-03-17,10:00:00,2023-03
2172,39,Male,Shorts,Clothing,98,Missouri,M,Yellow,Summer,4.6,No,Store Pickup,No,No,9,Cash,Fortnightly,38.5739,-92.6034,2172.0,6b70f521923699fabc788cfd08379bd4,view,2023-01-04,10:00:00,2023-01
2227,22,Male,Shirt,Clothing,72,Missouri,L,Blue,Spring,4.8,No,Store Pickup,No,No,28,Cash,Annually,38.5739,-92.6034,2227.0,7e4e86ae3679c4f42cf34661cd01e6c2,like,2023-05-26,10:00:00,2023-05
2261,38,Male,Scarf,Accessories,82,Missouri,M,Blue,Fall,4.9,No,Express,No,No,16,PayPal,Quarterly,38.5739,-92.6034,2261.0,c4b0b11504a083edc28b7873d6b84d94,like,2023-06-29,10:00:00,2023-06
2267,20,Male,Dress,Clothing,44,Missouri,M,Yellow,Fall,4.3,No,Store Pickup,No,No,32,Debit Card,Weekly,38.5739,-92.6034,2267.0,9da82cc07ddc85112c1619369e4ccbaf,like,2023-05-07,10:00:00,2023-05
2308,28,Male,Skirt,Clothing,96,Missouri,L,Green,Fall,3.5,No,Next Day Air,No,No,30,Debit Card,Annually,38.5739,-92.6034,2308.0,4af9667d7154a1b38bc66e1989d76e92,like,2023-08-15,10:00:00,2023-08
2393,40,Male,Jeans,Clothing,62,Missouri,L,Silver,Spring,2.6,No,2-Day Shipping,No,No,36,Cash,Annually,38.5739,-92.6034,2393.0,6a49e6845244f9ed06b942d59a70532f,view,2023-11-17,08:00:00,2023-11
2404,64,Male,Shorts,Clothing,22,Missouri,M,Magenta,Fall,4.4,No,Standard,No,No,40,Debit Card,Weekly,38.5739,-92.6034,2404.0,64f61ca1219f6f541dfef995558db58d,like,2023-11-28,08:00:00,2023-11
2567,35,Male,Handbag,Accessories,38,Missouri,S,Yellow,Fall,3.3,No,Standard,No,No,43,PayPal,Quarterly,38.5739,-92.6034,2567.0,1c2b2f2e14546c56f9d5a323a53f1b2b,purchase,2023-01-19,10:00:00,2023-01
2628,66,Male,Shirt,Clothing,26,Missouri,L,Silver,Fall,3.6,No,Next Day Air,No,No,40,Bank Transfer,Quarterly,38.5739,-92.6034,2628.0,7bf79367acb42d2bde05d9ae8b9538a9,like,2023-03-21,10:00:00,2023-03
2725,52,Female,Sneakers,Footwear,91,Missouri,M,Brown,Spring,2.5,No,Next Day Air,No,No,11,Debit Card,Fortnightly,38.5739,-92.6034,2725.0,e766365942b8aa122ee17f2f517fa21a,like,2023-06-26,10:00:00,2023-06
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,35.201,-91.8318,11.0,7b0746d8afc8462ba17f8a763d9d5f1e,purchase,2023-10-20,08:00:00,2023-10
168,33,Male,Gloves,Accessories,27,Arkansas,M,Green,Fall,4.0,Yes,Express,Yes,Yes,14,Credit Card,Every 3 Months,35.201,-91.8318,168.0,f4d3330e05b15674aa1f2c5b4d044cd4,purchase,2023-07-12,08:00:00,2023-07
189,50,Male,Hoodie,Clothing,53,Arkansas,M,Pink,Spring,3.1,Yes,Express,Yes,Yes,5,Bank Transfer,Bi-Weekly,35.201,-91.8318,189.0,8094240b7ccaaea48c04ab37b889d29b,purchase,2023-12-28,08:00:00,2023-12
226,25,Male,Jacket,Outerwear,22,Arkansas,M,Olive,Spring,3.2,Yes,Next Day Air,Yes,Yes,11,Bank Transfer,Annually,35.201,-91.8318,226.0,a6737b0c04b96b728bc14669376d3ebf,purchase,2023-01-02,10:00:00,2023-01
280,23,Male,Sneakers,Footwear,69,Arkansas,L,Turquoise,Summer,4.0,Yes,Standard,Yes,Yes,37,Bank Transfer,Monthly,35.201,-91.8318,280.0,fe89e1abfdd0674db0fcce601edff4a5,like,2023-03-27,10:00:00,2023-03
358,18,Male,Belt,Accessories,56,Arkansas,M,Olive,Spring,4.0,Yes,Standard,Yes,Yes,16,Credit Card,Bi-Weekly,35.201,-91.8318,358.0,cc91d2b941d4bcca4dd633ce4036b62e,purchase,2023-06-13,10:00:00,2023-06
459,47,Male,Shorts,Clothing,91,Arkansas,L,Black,Winter,4.0,Yes,2-Day Shipping,Yes,Yes,48,PayPal,Monthly,35.201,-91.8318,459.0,5cb38d6335013f8f1a9b5c4700d1d326,view,2023-09-22,10:00:00,2023-09
475,62,Male,Sweater,Clothing,76,Arkansas,XL,Maroon,Summer,2.6,Yes,2-Day Shipping,Yes,Yes,15,Cash,Quarterly,35.201,-91.8318,475.0,2f868132d7ee90e0ff145a36a80dbcd8,purchase,2023-08-10,10:00:00,2023-08
643,64,Male,Skirt,Clothing,25,Arkansas,L,Red,Spring,2.8,Yes,2-Day Shipping,Yes,Yes,14,Debit Card,Bi-Weekly,35.201,-91.8318,643.0,198651a0f2df856435f4e7401d2329ca,purchase,2023-04-12,08:00:00,2023-04
652,32,Male,Hat,Accessories,32,Arkansas,L,Yellow,Summer,2.9,Yes,Next Day Air,Yes,Yes,41,Venmo,Fortnightly,35.201,-91.8318,652.0,e843148804a37106a9b8a700a1ff9d3f,purchase,2023-12-13,08:00:00,2023-12
676,64,Male,Sunglasses,Accessories,86,Arkansas,M,Yellow,Spring,2.6,Yes,2-Day Shipping,Yes,Yes,9,Cash,Annually,35.201,-91.8318,676.0,3d29276bb43bb483cb809d422ba0d277,view,2023-04-01,10:00:00,2023-04
706,25,Male,Pants,Clothing,90,Arkansas,XL,Indigo,Summer,4.5,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,35.201,-91.8318,706.0,d873563f5b73b6fddca1319aabdf9cfe,purchase,2023-10-26,08:00:00,2023-10
728,62,Male,Sweater,Clothing,97,Arkansas,S,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,37,Venmo,Every 3 Months,35.201,-91.8318,728.0,63364f20856c8a990860acdf5d449781,view,2023-11-17,08:00:00,2023-11
732,43,Male,Coat,Outerwear,28,Arkansas,M,Red,Spring,3.5,Yes,Free Shipping,Yes,Yes,30,PayPal,Fortnightly,35.201,-91.8318,732.0,8591e8c903be2fe00731c05aecc5fa96,like,2023-11-21,08:00:00,2023-11
863,19,Male,Coat,Outerwear,84,Arkansas,M,Charcoal,Winter,4.9,Yes,Standard,Yes,Yes,13,PayPal,Fortnightly,35.201,-91.8318,863.0,5904074c7d9e3a8895da7786301cf38c,like,2022-12-30,10:00:00,2022-12
897,69,Male,Jewelry,Accessories,29,Arkansas,M,Lavender,Spring,4.7,Yes,Express,Yes,Yes,38,Cash,Fortnightly,35.201,-91.8318,897.0,d80f24a2d6d94055fa07a5f4ae81d7c8,purchase,2023-01-11,08:00:00,2023-01
1055,18,Male,Shorts,Clothing,96,Arkansas,L,Cyan,Winter,4.9,No,Express,Yes,Yes,48,PayPal,Quarterly,35.201,-91.8318,1055.0,9226c5ffa79395e7d36695362781505c,view,2023-07-11,08:00:00,2023-07
1085,34,Male,T-shirt,Clothing,36,Arkansas,S,Purple,Fall,4.1,No,Next Day Air,Yes,Yes,48,Cash,Quarterly,35.201,-91.8318,1085.0,e499f1b7e81a72d13b137a228d7246e9,like,2023-07-12,08:00:00,2023-07
1190,64,Male,Shirt,Clothing,97,Arkansas,XL,Teal,Summer,4.9,No,Free Shipping,Yes,Yes,28,Debit Card,Annually,35.201,-91.8318,1190.0,94dd679ca4c18c8a5b93909a73146565,like,2023-03-12,08:00:00,2023-03
1276,55,Male,Sweater,Clothing,32,Arkansas,S,Turquoise,Fall,4.5,No,Standard,Yes,Yes,1,PayPal,Monthly,35.201,-91.8318,1276.0,c4e9e3260c85ff57679fcc03da8ec772,purchase,2023-10-13,08:00:00,2023-10
